room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
4523395,1235,23450422,Entire home/apt,,Helsinki,,PUNAVUORI,25,5.0,3,2.0,,158.0,,"2 bedrooms, 0,5km from city center",Apartment,2017-05-18 03:51:56.554390,60.161522,24.930287,0101000020E6100000DAE4F04927EE3840D1CABDC0AC144E40
16187339,1235,105702190,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,0,0.0,2,2.0,,159.0,,3-room apartment in Töölö,Apartment,2017-05-18 03:51:56.521550,60.17421,24.917205,0101000020E610000049BA66F2CDEA38406E5166834C164E40
13217327,1235,74130784,Entire home/apt,,Helsinki,,RUSKEASUO,1,0.0,3,1.0,,170.0,,"Extremely nice 2 room flat, near city center.",Apartment,2017-05-18 03:51:56.495572,60.206029,24.895748,0101000020E61000001975ADBD4FE53840888384285F1A4E40
15761579,1235,11561426,Entire home/apt,,Helsinki,,KRUUNUNHAKA,0,0.0,6,3.0,,180.0,,Amazing spot in city center / Apartment,Apartment,2017-05-18 03:51:55.368862,60.173997,24.960208,0101000020E61000008A5B0531D0F53840124DA08845164E40
16648681,1235,110039305,Entire home/apt,,Helsinki,,VUOSAARI,0,0.0,6,3.0,,158.0,,Lovely modern house in a peaceful neighborhood,House,2017-05-18 03:51:55.250094,60.216363,25.150987,0101000020E6100000041F8315A7263940408864C8B11B4E40
10794027,1235,677236,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,0,0.0,5,2.0,,170.0,,"Cool apartment 91m2 with sauna, great location!",Apartment,2017-05-18 03:51:53.962619,60.174177,24.923135,0101000020E6100000FFCA4A9352EC3840925B936E4B164E40
5674763,1235,29425154,Entire home/apt,,Helsinki,,KAMPPI,0,0.0,2,1.0,,158.0,,PENTHOUSE IN THE CITY OF HELSINKI!,Apartment,2017-05-18 03:51:52.910899,60.167203,24.929628,0101000020E61000002672C119FCED384084656CE866154E40
5399113,1235,17081157,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,36,5.0,6,1.0,,169.0,,Elegant home with own sauna,Apartment,2017-05-18 03:51:50.918327,60.175032,24.92711,0101000020E610000068CBB91457ED384072E0D57267164E40
18015109,1235,123860988,Entire home/apt,,Helsinki,,PUNAVUORI,0,0.0,6,2.0,,182.0,,Double Bedroom Trans-modern experience,Apartment,2017-05-18 03:51:50.905785,60.161565,24.936221,0101000020E610000013D4F02DACEF3840D1967329AE144E40
13294403,1235,46135329,Entire home/apt,,Helsinki,,KLUUVI,16,4.5,4,2.0,,136.0,,An Oasis in the heart of Helsinki :D,Apartment,2017-05-18 03:51:40.071699,60.170341,24.949375,0101000020E6100000D7A3703D0AF338407F15E0BBCD154E40
7798125,1235,9893640,Entire home/apt,,Helsinki,,HERTTONIEMI,0,0.0,6,2.0,,125.0,,Cosy 2story 3R+Sauna in Herttoniemi,Townhouse,2017-05-18 03:51:39.910050,60.187963,25.038336,0101000020E61000006C425A63D0093940D5EDEC2B0F184E40
15425838,1235,42259659,Entire home/apt,,Helsinki,,ULLANLINNA,1,0.0,2,1.0,,124.0,,Luxurious 60m2 apartment with excellent location,Apartment,2017-05-18 03:51:38.456463,60.156608,24.944146,0101000020E610000033A6608DB3F138405F251FBB0B144E40
2479719,1235,10386892,Entire home/apt,,Helsinki,,TAKA-TÖÖLÖ,2,0.0,2,0.0,,141.0,,Hotel Eskolampi,Apartment,2017-05-18 03:51:37.478769,60.184213,24.912403,0101000020E6100000B5C5353E93E93840C03FA54A94174E40
6313247,1235,32841465,Entire home/apt,,Helsinki,,KALLIO,6,4.5,3,1.0,,136.0,,"Cool&Cozy @Kallio, close to City Centre",Apartment,2017-05-18 03:51:37.453599,60.183526,24.947846,0101000020E6100000F8A41309A6F238409CFBABC77D174E40
13854265,1235,66219361,Entire home/apt,,Helsinki,,KALLIO,0,0.0,5,2.0,,125.0,,Large and cozy flat in trendy Kallio neighbourhood,Apartment,2017-05-18 03:51:37.431270,60.186126,24.945268,0101000020E610000090F46915FDF13840B8770DFAD2174E40
2281130,1235,5093219,Entire home/apt,,Helsinki,,KATAJANOKKA,4,2.5,4,1.0,,136.0,,Design apartment in central HKI,Apartment,2017-05-18 03:51:35.853725,60.167255,24.968512,0101000020E610000097C80567F0F73840D68BA19C68154E40
13442473,1235,67033561,Entire home/apt,,Helsinki,,LAUTTASAARI,4,5.0,4,2.0,,142.0,,Sorrouded by the sea and nature near the city,Apartment,2017-05-18 03:51:35.843755,60.155298,24.876419,0101000020E6100000D097DEFE5CE038402E910BCEE0134E40
4096664,1235,21248976,Entire home/apt,,Helsinki,,KAMPPI,19,4.5,4,1.0,,136.0,,Idyllic wooden house ,Apartment,2017-05-18 03:51:35.837015,60.166515,24.926331,0101000020E61000005F45460724ED38408FA50F5D50154E40
16952320,1235,113357616,Entire home/apt,,Helsinki,,TUOMARINKYLÄ,0,0.0,4,2.0,,136.0,,Townhouse close to everything,Townhouse,2017-05-18 03:51:35.824267,60.25188,24.936613,0101000020E61000002A029CDEC5EF38401C42959A3D204E40
16142041,1235,45725934,Entire home/apt,,Helsinki,,VARTIOKYLÄ,0,0.0,4,1.0,,140.0,,Clean and nice apartment close to Metro station,Apartment,2017-05-18 03:51:35.720677,60.214617,25.103601,0101000020E610000039D55A98851A39403315E291781B4E40
16170517,1235,14039999,Entire home/apt,,Helsinki,,KRUUNUNHAKA,3,4.5,3,1.0,,125.0,,Scandinavian style apt. w. balcony,Apartment,2017-05-18 03:51:31.854245,60.173536,24.958282,0101000020E610000071581AF851F53840DE567A6D36164E40
1766346,1235,6461843,Entire home/apt,,Helsinki,,KAMPPI,113,4.5,5,1.0,,140.0,,Super central apart with own sauna!,Apartment,2017-05-18 03:51:30.538487,60.166507,24.936001,0101000020E6100000F705F4C29DEF38400DC7F31950154E40
16155126,1235,105442663,Entire home/apt,,Helsinki,,KAMPPI,0,0.0,2,0.0,,113.0,,Scandinavian style studio in the city center,Apartment,2017-05-18 03:51:25.893009,60.162369,24.92885,0101000020E6100000BDE3141DC9ED38402E71E481C8144E40
7720044,1235,40563587,Entire home/apt,,Helsinki,,PITÄJÄNMÄKI,1,0.0,2,0.0,,119.0,,Apartment (Top floor) for 1-3 days,Apartment,2017-05-18 03:51:25.819340,60.231111,24.850301,0101000020E610000090C18A53ADD93840785F950B951D4E40
4021820,1235,20850644,Entire home/apt,,Helsinki,,KAMPPI,18,4.5,5,0.0,,112.0,,Studio in the heart of city,Apartment,2017-05-18 03:51:25.808366,60.165026,24.934219,0101000020E6100000444DF4F928EF3840AE7E6C921F154E40
1026216,1235,5649700,Entire home/apt,,Helsinki,,KLUUVI,32,5.0,4,1.0,,112.0,,Lovely flat in the very center,Apartment,2017-05-18 03:51:25.758075,60.172542,24.945699,0101000020E610000023DC645419F23840DD9733DB15164E40
3144598,1235,9276215,Entire home/apt,,Helsinki,,KALLIO,0,0.0,6,2.0,,113.0,,The Kallio Beauty,Apartment,2017-05-18 03:51:23.562512,60.18473,24.955725,0101000020E610000038F8C264AAF43840884B8E3BA5174E40
9659912,1235,8076687,Entire home/apt,,Helsinki,,PUNAVUORI,2,0.0,3,1.0,,105.0,,Art Nouveau spirited apartment,Apartment,2017-05-18 03:51:23.555058,60.160071,24.935873,0101000020E61000009C35785F95EF3840DE04DF347D144E40
14961911,1235,94203199,Entire home/apt,,Helsinki,,KALLIO,0,0.0,2,1.0,,112.0,,Cozy and clean studio in Helsinki,Apartment,2017-05-18 03:51:23.542385,60.185463,24.953873,0101000020E610000094895B0531F438401CCF6740BD174E40
5822591,1235,5159552,Entire home/apt,,Helsinki,,VALLILA,2,0.0,4,1.0,,113.0,,Spacious apartment in Vallila,Apartment,2017-05-18 03:51:23.539334,60.194281,24.956876,0101000020E6100000CA5356D3F5F43840F99D2633DE184E40
16155429,1235,11816572,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,1,0.0,5,0.0,,108.0,,Bright & Central Apartment next to the Rock Church,Apartment,2017-05-18 03:51:22.062405,60.17145,24.927182,0101000020E61000009B70AFCC5BED38401973D712F2154E40
13650634,1235,79261402,Entire home/apt,,Helsinki,,LAUTTASAARI,7,5.0,6,3.0,,113.0,,"Family apartment next to center, close beach",Apartment,2017-05-18 03:51:22.047879,60.157938,24.868294,0101000020E61000002250FD8348DE3840D865F84F37144E40
7798281,1235,25547683,Entire home/apt,,Helsinki,,SÖRNÄINEN,4,5.0,3,1.0,,108.0,,Beautiful apartment with sauna,Apartment,2017-05-18 03:51:20.178237,60.184723,24.96324,0101000020E6100000F4328AE596F63840D5E8D500A5174E40
8744415,1235,16616450,Entire home/apt,,Helsinki,,HAAGA,14,4.5,6,2.0,,124.0,,Comfortable scandinavian apartment,Apartment,2017-05-18 03:51:20.164136,60.210992,24.886313,0101000020E61000000805A568E5E23840DBDB2DC9011B4E40
6297592,1235,907817,Entire home/apt,,Helsinki,,KATAJANOKKA,14,4.5,3,1.0,,113.0,,"1 BR + living 63,5 m2 @ Katajanokka",Apartment,2017-05-18 03:51:20.147280,60.164384,24.970275,0101000020E61000005C2041F163F838402AFEEF880A154E40
3797414,1235,18092848,Entire home/apt,,Helsinki,,KAMPPI,58,4.5,4,1.0,,113.0,,Newly renovated urban city apartmen,Apartment,2017-05-18 03:51:20.141318,60.167848,24.932369,0101000020E6100000E2CD1ABCAFEE38407959130B7C154E40
7640425,1235,27929620,Entire home/apt,,Helsinki,,HAAGA,0,0.0,5,3.0,,112.0,,"Really nice family home 114 m2, great location",Townhouse,2017-05-18 03:51:18.712208,60.220471,24.895574,0101000020E6100000DD25715644E53840B45BCB64381C4E40
10630102,1235,50806942,Entire home/apt,,Helsinki,,PUNAVUORI,5,5.0,4,2.0,,113.0,,Wonderful home in great location,Apartment,2017-05-18 03:51:18.679592,60.159662,24.938565,0101000020E6100000952BBCCB45F03840FC34EECD6F144E40
18525653,1235,128603065,Entire home/apt,,Helsinki,,KALLIO,0,0.0,6,3.0,,119.0,,Cozy apartment,Apartment,2017-05-18 03:51:18.629573,60.183449,24.942822,0101000020E610000006F357C85CF13840F1BDBF417B174E40
7643039,1235,36598839,Entire home/apt,,Helsinki,,KAMPPI,1,0.0,4,2.0,,113.0,,2-room apartment in the city center,Apartment,2017-05-18 03:51:16.835724,60.163304,24.926915,0101000020E6100000FE2B2B4D4AED38402AA73D25E7144E40
